"Member","Name","Image","Staked (ALLIANCE)","Voting power"
"terra1dyh999cuqjkhadpfhh878sar73mrzy65695309","","/placeholders/3.svg","324","19.35483870967742"
"terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw","DeFi_Patriot","ipfs://QmWDYhDVN6FmGE8hFBFcUa86dXJFm8aGPMtSobkBNiuBAb","291","17.38351254480287"
"terra1yct7ls8kw3x2ucm66rxg7mgtyvw7kr5v4t4xsx","","/placeholders/5.svg","165","9.85663082437276"
"terra10kwrzdaxhlp0d4ffr36ds4gkcq8w726dpum2t3","","/placeholders/3.svg","124","7.4074074074074066"
"terra13qjxhnw98lm36rxc9yjakkmulhpv7zctdc5zlz","4719","https://i.stargaze-apis.com/Al7rDDRZHopZT-W4Z8TYG1tszwULXeKVS5DVLovtfHM/resize:fit:512:::/dpr:2/plain/ipfs://QmQ5693bS6DbRvkXZdFSuuUPhgWz4Qt2DhUkdrk5Ba8sVj","51","3.046594982078853"
"terra1n8utaly5st5du65fgaqawhrkvm0qrlfws9kymc","","/placeholders/3.svg","43","2.5686977299880525"
"terra1j3ynfcuzl9e5y33ts9lcfxcteh7xg2a3zzc7gm","Crypto007","/placeholders/3.svg","38","2.2700119474313025"
"terra1n28qcuxlm0t94dlky2zny0g7w8vrrklgef7229","defi_kubera","/placeholders/1.svg","32","1.911589008363202"
"terra1d0jq9l5narcgy46v5agnv8hqmn5m8kj3lkh93l","DeFi_Patriot_Broken","/placeholders/5.svg","29","1.7323775388291516"
"terra1alxk3fmhcl0ga80gl9yj9zp3ezjm4sdh8a9l9c","","/placeholders/2.svg","27","1.6129032258064515"
"terra1fjd6thl0dqh6e5wv9z7rdrqzmtp0xau7fdejpq","","/placeholders/5.svg","26","1.5531660692951015"
"terra18au39029aa4mey00fap4l74c936l8efjuqhf6u","","/placeholders/4.svg","25","1.4934289127837514"
"terra1fsxuvu22sd4y28zvdrxnf0jekmcfutn8uw5kpv","","/placeholders/4.svg","23","1.3739545997610514"
"terra1tgvlyhnqyxgwuw07h986jtnjhkcz72es3u33a9","pixeLionsDAO","/placeholders/4.svg","21","1.2544802867383513"
