"Member","Name","Image","Staked (ROAR)","Voting power"
"terra1vklefn7n6cchn0u962w3gaszr4vf52wjvd4y95t2sydwpmpdtszsqvk9wy","","","128767714019.471861","58.077946990936404"
"terra1nrt0tcqc3kazztzfhyd2pf9q59p49ywu9g36w8","","","60002000000","27.062629805039535"
"terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw","","","1659342687.514719","0.7484113341540322"
"terra1d0zzmhwgs79u7fr98sgnmp7f9t2x2wj6mmnu2s","","","1420582424.875485","0.6407235804131635"
"terra1d73fvpwm8stsy5y9epfn6fedm74egn2d85xg7t","","","1134391728.35272","0.5116433351939708"
"terra1vlwmp6e2waq24rmt72vwjy0kkn8u0tcjvavzuq","","","1128179798.908199","0.508841576137071"
"terra1vtqmqst4dnkyt6ajfpzlyd48jsel9cvy2myq6j","","","1100000000","0.4961316753698791"
"terra1gp88fnzd4uvk4t5plagz762a29f88qgew3kfa2","","","1063950155.126578","0.4798721572481745"
"terra1w7ayljrk3hf9xnvsg042l2vdyuyptd7wf2rpx8","","","1045443407.629053","0.4715250812103614"
"terra1l0jeppq8v3rt6dxhch5m4ydcmgfmvpxl59mhll","","","1034769178.809591","0.46671069663992404"
"terra1xaujrunqtuxhpvr0hc8ky7tmg4cjm8sg4as6w5","","","1008811266.920754","0.4550029308994582"
"terra1x0d0pp36t00k7nhcrwhm9h8jj7d2f76n8aydgz","","","1000000000.33195","0.4510287959405182"
"terra157ynvwu6p8sdsznvp39fwcy7xfjxpmv6th3vd7","","","1000000000","0.4510287957907992"
"terra17n9hcuath7awhdlm5cx845202hatf7gmz227uw","","","1000000000","0.4510287957907992"
"terra1r4xkt78nyz22v37dsxc3ff24ecmhmnm48kfzjj","","","1000000000","0.4510287957907992"
"terra1sffd4efk2jpdt894r04qwmtjqrrjfc52tmj6vkzjxqhd8qqu2drs3m5vzm","","","1000000000","0.4510287957907992"
"terra1694vlvw9m2cayk6dq4pg25xyz0uuv4fcs97g5k","","","877440762.370959","0.3957510504299344"
"terra1x2rutlpugtxllqkn7ehxcu77r8qeydp26rerzn","","","729758555.928798","0.3291421226985984"
"terra1lslaktm620qaqpu6qx0s5k5q7adsvw5jvndzaf","","","693830595.277318","0.3129375778707421"
"terra1kknt9fkk79d7hk3xpe3jv2j42fnlvpfflg4aht","","","602708952.035133","0.2718390928487406"
"terra146rmw8qdyf06q0adm9etmauahlss2czqgpccp6","","","600000000","0.2706172774744795"
"terra14tdsywzgsqd3kctlvyx6nz0dyhdeuypx7keleg","","","548631746.218749","0.24744871582964573"
"terra12uxkacq0cuj7r8nqrgqxyx6pxfduy46qphjhu9","","","500000000","0.2255143978953996"
"terra1ues856elgspt5qhrzeks8jryd3a7jjyxxh4qap","","","500000000","0.2255143978953996"
"terra1hzyzys3s7s7xsls5gvsta3z3ylcy7fjcnpgmas","","","443103866.328224","0.19985260324026613"
"terra1nap4h4wz86cens8lvnu2kr2lrd463thgjffjl4","","","436335560.880569","0.19679990258466598"
"terra15rxcrh6jde9gyj8ht8kkmkj5h32d2kfk22ezgy","","","407515834.224808","0.1838013759760981"
"terra15rrtnfddzmarc65f7qztwvjrenpu4lgmhmj9pa","","","360000000","0.16237036648468772"
"terra13qjxhnw98lm36rxc9yjakkmulhpv7zctdc5zlz","","","344473134.625642","0.15536730309248517"
"terra1fye4el7alj0zekd5eqr29053unqqwjhaymnng3","","","319334203.571022","0.14402892129145198"
"terra1s0xk5m95ldmsqnyq6qh2h0nlyqtkwzu45y55x5","","","311773527.243924","0.14061883855227697"
"terra1004ntprq3wc26u9sz2fjmsx2twhuaxnpktvq88","","","288972094.012082","0.13033473557941497"
"terra1ajxjcuft62qesn0c6en63vsl4l4aptl884mxz4","","","277526668.824373","0.1251725192396889"
"terra15zpetcnjmg5p53na6rvyp6vvm7gnf0qcfrn8p9","","","256279264.660045","0.11558932812577162"
"terra1g655nxkfvgaayk0yw99zykgeezvyd2w5n4khyr","","","250000000","0.1127571989476998"
"terra15xwsmwc0elma7g45pmy7gy87u72cp8nmf8sny7","","","249998169","0.11275637311397471"
"terra1lc43y5407lus9s9tw9yq4qwdq4cgjs33p6fr7c","","","235000000","0.10599176701083782"
"terra1zsqu60y738u0jgk36sdrptq44ejke6a7e392sd","","","209466364.747093","0.09447536225055767"
"terra1d86390xulw7vj2a8d8nqz75pjznuakxlyjn7z0","","","193961300.597315","0.08748213183842421"
"terra12hdw3zhlgvfjhwefwh6tfq2wu3vs66p62rf7ws","","","180000000","0.08118518324234386"
"terra1c2l59crjqf0k8a8uhmhrajtw0tnk3430shcndh","","","157760678.050467","0.0711546086442421"
"terra1cx8j8aym6lnj5z7m6xm6hd06jxzt9xpdyhryfq","","","150000000","0.06765431936861988"
"terra1q0tfewa60enuu8utyjs9w7um58njhd7fn2p7d3","","","143000000","0.06449711779808429"
"terra10j6ml4p36srdfzdf4zys389fvrm0qrfnsmkxz5","","","140642948.627724","0.0634340197560296"
"terra1yyzs9l06uz3uxak8dksts40jt04fh8rjv6y4uc","","","133778379.27351","0.06033790130657603"
"terra1zgllgkux94tdqpuufn5cedmrk98qtdcmwhy7ts","","","133742260.794039","0.06032161083227443"
"terra13lzly6934ymemk6k3tzvlu3tl7v7gzq39auhfu","","","132860516.781502","0.05992391889210412"
"terra1u6t4v60y4cu2p4x53zdyr93r42elxj4xwmh7g3","","","129929224.839271","0.058601821817288395"
