"Member","Name","Image","Staked (LION)","Voting power"
"terra16d6pzemu64ckee4l9t2ryrpjdgdrmxzd5jaajp","LlewynBonisagus","/placeholders/1.svg","255","9.192501802451334"
"terra1hch3fmt0kk2verlk26srsy67x8gr920j5cll3g","","/placeholders/5.svg","103","3.713049747656813"
"terra1k8j72n8zzdupw8377d2pfv2h2zjzkmwafhc58m","","/placeholders/1.svg","81","2.9199711607786587"
"terra1u6s6gzd5ycj375vhp4n96g5k7neeftene4ntua","","/placeholders/5.svg","70","2.523431867339582"
"terra1h7ja4gpgxwl5epnz7mlypzsttmkw8gceu9rc5v","SJS","https://i.stargaze-apis.com/TWoQg57Fr6Lc_OqzcGPcNOHehZ-goJ-WUXrnP0APF-4/resize:fit:512:::/dpr:2/plain/ipfs://QmTEo3JXuWdEFFxxUthCQtWuWMfPtLzvRvSxW6k3r5GbVq/28.png","66","2.3792357606344625"
"terra1yct7ls8kw3x2ucm66rxg7mgtyvw7kr5v4t4xsx","","/placeholders/5.svg","61","2.198990627253064"
"terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw","DeFi_Patriot","/placeholders/4.svg","56","2.0187454938716654"
"terra1emr8z0l5d42w5d2hz4gh0k03x2tnyp36zml9vp","","/placeholders/5.svg","53","1.910598413842826"
"terra1nj74mncupt0xhpxljls09gg7ufy0nx68fyarfy","06592","ipfs://QmdfVcGiDrRoPZn3nVpFT3Mx27XiuoEXmd6Dsh17TncWe3","50","1.802451333813987"
"terra1vmuhtcu7ggz602t7lgu9j3s0mp8p5ptx05mv0w","","/placeholders/2.svg","49","1.766402307137707"
"terra1zaq3ghh7fmggw8sjsfscmhha7rnrq5cndsmwpp","","/placeholders/1.svg","47","1.6943042537851478"
"terra18m0c8lev5uyx4kkvtwlvdk5eytmwhyd8hyc7m4","","/placeholders/4.svg","46","1.658255227108868"
"terra1kkvmg6l545fjl67f44hx9ytyjurx4s2r9z8att","","/placeholders/5.svg","45","1.6222062004325881"
"terra1cpjk6yhqegyulzc8ujvuz909d63dftvgxxld6n","","/placeholders/5.svg","44","1.5861571737563085"
"terra1r8w7rvsg6j2c22jdq0jp02cgyspa7r5hzc95zk","","/placeholders/3.svg","42","1.514059120403749"
"terra1x0njjcge9xykawm7dy48va89vj6wvj77wy3a6k","","/placeholders/2.svg","40","1.4419610670511895"
"terra1zgu5w9ddpdt5ft36qn8cags0h8rz2uswr95p98","LON","/placeholders/3.svg","37","1.3338139870223502"
"terra1q0tfewa60enuu8utyjs9w7um58njhd7fn2p7d3","SpaceToadCapital","ipfs://QmfF6WHUyzFzGnPcafcoLUwLakwi5UijUpVBVxdTqiS1Mn","35","1.261715933669791"
"terra1hfazfyenv7juex83068wfs8t6ghpht4hqkjaph","","/placeholders/2.svg","32","1.1535688536409516"
"terra18au39029aa4mey00fap4l74c936l8efjuqhf6u","","/placeholders/4.svg","31","1.117519826964672"
"terra1eqaq2kuntl3jh4xd5sjxcf9ncpuk2plml0dgsg","Ecclesia_Lunatic","/placeholders/4.svg","31","1.117519826964672"
"terra1wpg32jhp3qnaguyayy6phxhz3kpv2c6reg9lta","","/placeholders/2.svg","31","1.117519826964672"
"terra1mwup2yunpdcr7765lurfdpx0rsq5c9n4zw0x8v","","/placeholders/1.svg","30","1.0814708002883922"
"terra1q6wxdv6rc7p4jjhayg4smj7trxcmwfy44yqk3n","","ipfs://bafybeihgrne4vcqirlb26rs4y2gpaka32dqssidwvx2qui2kx5osc6oxie/4182.png","30","1.0814708002883922"
"terra1qgflsn03yq4x9cjk0dsdlzfmw9dhr7teuf6tlc","Cryptomonkeyman","/placeholders/1.svg","24","0.8651766402307137"
"terra1rr0mlysgrclyhl0mau2uhjsftjtwm9j3g8tan8","bobo94548729","/placeholders/3.svg","23","0.829127613554434"
"terra1dr9xlcr5s7dt7apycdxe82g5l66pyh3djad20w","Llewyn","/placeholders/4.svg","22","0.7930785868781542"
"terra12hdw3zhlgvfjhwefwh6tfq2wu3vs66p62rf7ws","cryptoMFT","/placeholders/1.svg","21","0.7570295602018745"
"terra1w5cjcvdkl004fzf0gxl8g8wga90kgk7pu2rjna","","/placeholders/1.svg","21","0.7570295602018745"
"terra1wn20yk4jcva0h22x0dlx7jcr8leykh40l6wlm6","","/placeholders/5.svg","21","0.7570295602018745"
"terra1dw80j7tw39e0t0qwlgd9tzfl8vmuqf4wfd4hw6","","/placeholders/1.svg","20","0.7209805335255948"
"terra1muzld38hqugdh6hquvy6ersn9qe75g9ad8f75k","xguy","/placeholders/5.svg","20","0.7209805335255948"
"terra1sffd4efk2jpdt894r04qwmtjqrrjfc52tmj6vkzjxqhd8qqu2drs3m5vzm","AllianceDAO","https://ipfs.io/ipfs/bafkreica5jemz7ukfrlqy7ao5qibudrlh3v2awd67rr7l7nkrnvv5r73li","20","0.7209805335255948"
"terra14sel4a2dm5a986dgf6wvkzk2lqfq3me72v8fy7","","/placeholders/1.svg","18","0.6488824801730353"
